trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.9, 'e': 0.9610554383107709}",20,0,-108.45119708617906,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
141,False,"{'a': 0.9, 'e': 0.9605008052718809}",20,0,-117.04650350170058,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
142,False,"{'a': 0.9, 'e': 0.9599423302310505}",20,0,-149.94081201107667,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
143,False,"{'a': 0.9, 'e': 0.959380015422179}",20,0,-93.04007449814877,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
144,False,"{'a': 0.9, 'e': 0.9588138630945251}",20,0,-114.35058010458546,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
145,False,"{'a': 0.9, 'e': 0.9582438755126972}",20,0,-282.3405493118712,"{0: 7, 1: 0, 2: 7, 3: 1, 4: 5}",0
146,False,"{'a': 0.9, 'e': 0.9576700549566448}",20,0,-273.4428628821311,"{0: 9, 1: 0, 2: 4, 3: 2, 4: 5}",0
147,False,"{'a': 0.9, 'e': 0.9570924037216496}",25,16,-34.632184094464094,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
148,False,"{'a': 0.9, 'e': 0.9565109241183156}",20,2,-123.1513886533266,"{0: 8, 1: 0, 2: 8, 3: 1, 4: 1}",1
149,False,"{'a': 0.9, 'e': 0.9559256184725605}",25,13,-93.31394148672554,"{0: 5, 1: 0, 2: 6, 3: 0, 4: 1}",1
150,False,"{'a': 0.9, 'e': 0.955336489125606}",25,0,-181.0507562465532,"{0: 10, 1: 0, 2: 13, 3: 1, 4: 1}",0
151,False,"{'a': 0.9, 'e': 0.9547435384339689}",20,0,-62.50208150610181,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
152,False,"{'a': 0.9, 'e': 0.9541467687694509}",25,0,-141.1578552510387,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
153,False,"{'a': 0.9, 'e': 0.9535461825191301}",30,0,-189.3657558943366,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
154,False,"{'a': 0.9, 'e': 0.9529417820853506}",35,0,-245.01244746806617,"{0: 20, 1: 0, 2: 10, 3: 2, 4: 3}",0
155,False,"{'a': 0.9, 'e': 0.9523335698857134}",20,13,-62.45268916600461,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
156,False,"{'a': 0.9, 'e': 0.9517215483530664}",20,0,-151.3714186491472,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
157,False,"{'a': 0.9, 'e': 0.951105719935495}",20,0,-232.65389623733864,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 4}",0
158,False,"{'a': 0.9, 'e': 0.9504860870963119}",20,0,-64.77044276751396,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
159,False,"{'a': 0.9, 'e': 0.9498626523140478}",20,0,-105.51191536006614,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
160,False,"{'a': 0.9, 'e': 0.9492354180824408}",20,0,-58.321730785433466,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
161,False,"{'a': 0.9, 'e': 0.9486043869104273}",20,0,-98.0039561002622,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
162,False,"{'a': 0.9, 'e': 0.9479695613221308}",25,0,-207.51869323636748,"{0: 15, 1: 0, 2: 3, 3: 4, 4: 3}",0
163,False,"{'a': 0.9, 'e': 0.9473309438568531}",20,0,-128.16740021360178,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
164,False,"{'a': 0.9, 'e': 0.9466885370690631}",30,0,-139.33161126292865,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
165,False,"{'a': 0.9, 'e': 0.946042343528387}",35,0,-268.4920596723064,"{0: 19, 1: 0, 2: 11, 3: 1, 4: 4}",0
166,False,"{'a': 0.9, 'e': 0.9453923658195982}",20,0,-132.28723551931304,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
167,False,"{'a': 0.9, 'e': 0.9447386065426066}",20,0,-79.9556623252447,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
168,False,"{'a': 0.9, 'e': 0.9440810683124485}",30,0,-237.120940954144,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 4}",0
169,False,"{'a': 0.9, 'e': 0.9434197537592759}",20,0,-124.5607065510215,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",1
170,False,"{'a': 0.9, 'e': 0.9427546655283462}",25,0,-119.71682226777665,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
171,False,"{'a': 0.9, 'e': 0.9420858062800114}",30,0,-202.99101478533407,"{0: 17, 1: 0, 2: 10, 3: 0, 4: 3}",0
172,False,"{'a': 0.9, 'e': 0.9414131786897075}",20,0,-166.4510777490513,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
173,False,"{'a': 0.9, 'e': 0.9407367854479443}",25,0,-176.71313627056944,"{0: 12, 1: 0, 2: 9, 3: 3, 4: 1}",0
174,False,"{'a': 0.9, 'e': 0.9400566292602934}",25,0,-193.78060980913105,"{0: 15, 1: 0, 2: 5, 3: 2, 4: 3}",0
175,False,"{'a': 0.9, 'e': 0.9393727128473789}",25,10,-83.68559261350234,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 1}",1
176,False,"{'a': 0.9, 'e': 0.9386850389448655}",20,9,-76.29051391523458,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 1}",1
177,False,"{'a': 0.9, 'e': 0.937993610303448}",35,13,-92.93536969059252,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 0}",1
178,False,"{'a': 0.9, 'e': 0.9372984296888399}",25,0,-227.60743008804556,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
179,False,"{'a': 0.9, 'e': 0.9365994998817627}",20,0,-154.3223942765991,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
180,False,"{'a': 0.9, 'e': 0.9358968236779348}",20,0,-108.12446994742902,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
181,False,"{'a': 0.9, 'e': 0.9351904038880602}",20,0,-156.319540675266,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
182,False,"{'a': 0.9, 'e': 0.9344802433378168}",25,0,-183.26547298690616,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
183,False,"{'a': 0.9, 'e': 0.933766344867846}",30,0,-179.0875131732343,"{0: 18, 1: 0, 2: 8, 3: 2, 4: 2}",0
184,False,"{'a': 0.9, 'e': 0.9330487113337409}",30,0,-135.92484006155632,"{0: 18, 1: 0, 2: 11, 3: 0, 4: 1}",0
185,False,"{'a': 0.9, 'e': 0.9323273456060345}",20,0,-217.78579701607953,"{0: 9, 1: 0, 2: 6, 3: 2, 4: 3}",0
186,False,"{'a': 0.9, 'e': 0.9316022505701886}",20,0,-69.9374142804659,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
187,False,"{'a': 0.9, 'e': 0.9308734291265828}",20,0,-98.51727975597724,"{0: 11, 1: 0, 2: 7, 3: 2, 4: 0}",0
188,False,"{'a': 0.9, 'e': 0.9301408841905014}",20,0,-239.98049270349438,"{0: 9, 1: 0, 2: 5, 3: 2, 4: 4}",0
189,False,"{'a': 0.9, 'e': 0.9294046186921237}",25,0,-152.41176627076035,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
190,False,"{'a': 0.9, 'e': 0.9286646355765102}",25,0,-152.79304178121856,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
191,False,"{'a': 0.9, 'e': 0.9279209378035927}",20,0,-190.57584301735338,"{0: 9, 1: 0, 2: 8, 3: 0, 4: 3}",0
192,False,"{'a': 0.9, 'e': 0.9271735283481612}",20,9,-55.61721881815751,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 1}",1
193,False,"{'a': 0.9, 'e': 0.9264224101998526}",25,0,-131.8938175741331,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
194,False,"{'a': 0.9, 'e': 0.9256675863631385}",20,0,-171.60372134425958,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
195,False,"{'a': 0.9, 'e': 0.9249090598573131}",20,0,-148.97335707246262,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
196,False,"{'a': 0.9, 'e': 0.9241468337164814}",25,0,-165.72273602945467,"{0: 13, 1: 0, 2: 8, 3: 3, 4: 1}",0
